"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","button_pressed","images","left_choice","right_choice"
"","image-button-response","346","268276","0.0-346.0","null","../stimuli/images_hvm10/im74.png","","null","74","4","3"
"","html-button-response","347","268845","0.0-347.0","569","","","1","","",""
"","html-keyboard-response","348","269846","0.0-348.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","349","270347","0.0-349.0","null","../stimuli/images_hvm10/im184.png","","null","184","9","3"
"","html-button-response","350","270873","0.0-350.0","525","","","1","","",""
"","html-keyboard-response","351","271875","0.0-351.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","352","272377","0.0-352.0","null","../stimuli/images_hvm10/im27.png","","null","27","7","1"
"","html-button-response","353","273086","0.0-353.0","709","","","1","","",""
"","html-keyboard-response","354","274088","0.0-354.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","355","274590","0.0-355.0","null","../stimuli/images_hvm10/im107.png","","null","107","2","5"
"","html-button-response","356","275119","0.0-356.0","528","","","1","","",""
"","html-keyboard-response","357","276120","0.0-357.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","358","276622","0.0-358.0","null","../stimuli/images_hvm10/im14.png","","null","14","0","2"
"","html-button-response","359","277474","0.0-359.0","850","","","0","","",""
"","html-keyboard-response","360","278475","0.0-360.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","361","278976","0.0-361.0","null","../stimuli/images_hvm10/im6.png","","null","6","0","1"
"","html-button-response","362","279851","0.0-362.0","873.9999999999418","","","0","","",""
"","html-keyboard-response","363","280853","0.0-363.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","364","281355","0.0-364.0","null","../stimuli/images_hvm10/im144.png","","null","144","7","9"
"","html-button-response","365","281921","0.0-365.0","565","","","0","","",""
"","html-keyboard-response","366","282922","0.0-366.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","367","283424","0.0-367.0","null","../stimuli/images_hvm10/im122.png","","null","122","6","3"
"","html-button-response","368","284028","0.0-368.0","602","","","0","","",""
"","html-keyboard-response","369","285029","0.0-369.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","370","285531","0.0-370.0","null","../stimuli/images_hvm10/im23.png","","null","23","1","6"
"","html-button-response","371","286052","0.0-371.0","520","","","0","","",""
"","html-keyboard-response","372","287054","0.0-372.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","373","287555","0.0-373.0","null","../stimuli/images_hvm10/im185.png","","null","185","6","9"
"","html-button-response","374","288559","0.0-374.0","1003","","","1","","",""
"","html-keyboard-response","375","289560","0.0-375.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","376","290062","0.0-376.0","null","../stimuli/images_hvm10/im115.png","","null","115","5","7"
"","html-button-response","377","290618","0.0-377.0","555","","","1","","",""
"","html-keyboard-response","378","291619","0.0-378.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","379","292120","0.0-379.0","null","../stimuli/images_hvm10/im44.png","","null","44","1","2"
"","html-button-response","380","292606","0.0-380.0","485","","","1","","",""
"","html-keyboard-response","381","293608","0.0-381.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","382","294109","0.0-382.0","null","../stimuli/images_hvm10/im113.png","","null","113","7","5"
"","html-button-response","383","294627","0.0-383.0","517","","","1","","",""
"","html-keyboard-response","384","295628","0.0-384.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","385","296131","0.0-385.0","null","../stimuli/images_hvm10/im114.png","","null","114","2","5"
"","html-button-response","386","296812","0.0-386.0","680","","","1","","",""
"","html-keyboard-response","387","297813","0.0-387.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","388","298316","0.0-388.0","null","../stimuli/images_hvm10/im8.png","","null","8","0","7"
"","html-button-response","389","299134","0.0-389.0","817","","","0","","",""
"","html-keyboard-response","390","300136","0.0-390.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","391","300637","0.0-391.0","null","../stimuli/images_hvm10/im162.png","","null","162","2","8"
"","html-button-response","392","301543","0.0-392.0","904.9999999999418","","","0","","",""
"","html-keyboard-response","393","302545","0.0-393.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","394","303047","0.0-394.0","null","../stimuli/images_hvm10/im187.png","","null","187","4","9"
"","html-button-response","395","303651","0.0-395.0","602","","","0","","",""
"","html-keyboard-response","396","304652","0.0-396.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","397","305154","0.0-397.0","null","../stimuli/images_hvm10/im76.png","","null","76","8","3"
"","html-button-response","398","305908","0.0-398.0","753.9999999999418","","","1","","",""
"","html-keyboard-response","399","306910","0.0-399.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","400","307413","0.0-400.0","null","../stimuli/images_hvm10/im79.png","","null","79","3","2"
"","html-button-response","401","307984","0.0-401.0","570","","","1","","",""
"","html-keyboard-response","402","308986","0.0-402.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","403","309487","0.0-403.0","null","../stimuli/images_hvm10/im166.png","","null","166","8","0"
"","html-button-response","404","310394","0.0-404.0","907","","","0","","",""
"","html-keyboard-response","405","311396","0.0-405.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","406","311897","0.0-406.0","null","../stimuli/images_hvm10/im165.png","","null","165","2","8"
"","html-button-response","407","312940","0.0-407.0","1041","","","1","","",""
"","html-keyboard-response","408","313940","0.0-408.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","409","314442","0.0-409.0","null","../stimuli/images_hvm10/im24.png","","null","24","1","8"
"","html-button-response","410","315358","0.0-410.0","915","","","0","","",""
"","html-keyboard-response","411","316359","0.0-411.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","412","316861","0.0-412.0","null","../stimuli/images_hvm10/im161.png","","null","161","6","8"
"","html-button-response","413","317856","0.0-413.0","995","","","1","","",""
"","html-keyboard-response","414","318858","0.0-414.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","415","319359","0.0-415.0","null","../stimuli/images_hvm10/im37.png","","null","37","1","3"
"","html-button-response","416","319979","0.0-416.0","619","","","0","","",""
"","html-keyboard-response","417","320980","0.0-417.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","418","321482","0.0-418.0","null","../stimuli/images_hvm10/im1.png","","null","1","0","3"
"","html-button-response","419","322158","0.0-419.0","676","","","0","","",""
"","html-keyboard-response","420","323160","0.0-420.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
