count,experiment,ID,age,handedness,sex,other_sex,course,ntrials-same-20,ntrials-same-23,ntrials-same-24,ntrials-same-25,ntrials-same-26,ntrials-same-27,ntrials-same-30,ntrials-small-20,ntrials-small-23,ntrials-small-24,ntrials-small-25,ntrials-small-26,ntrials-small-27,ntrials-small-30,rt-same-20,rt-same-23,rt-same-24,rt-same-25,rt-same-26,rt-same-27,rt-same-30,rt-small-20,rt-small-23,rt-small-24,rt-small-25,rt-small-26,rt-small-27,rt-small-30,testbigger-same-20,testbigger-same-23,testbigger-same-24,testbigger-same-25,testbigger-same-26,testbigger-same-27,testbigger-same-30,testbigger-small-20,testbigger-small-23,testbigger-small-24,testbigger-small-25,testbigger-small-26,testbigger-small-27,testbigger-small-30,pse-same,pse-same-avefit,slope-same,slope-same-avefit,pse-small,pse-small-avefit,slope-small,slope-small-avefit
21,0,9908,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1297.1300000011925,1162.704999995232,1700.9999999999993,1439.2250000000001,1472.6650000035775,1102.3000000119212,918.115000009537,1143.9249999940396,2133.7599999785425,1276.2599999964232,1021.4799999952322,873.2050000131132,881.95,666.8100000143053,0.05,0.15,0.35,0.5,0.6,0.8,0.85,0.05,0.55,0.8,0.9,0.85,1.0,1.0,25.173328630891397,24.99231762651599,0.16865674988212143,0.1921818530881045,22.81739423497256,23.10621932607183,0.20080271276259473,0.153649371362767
22,0,1387,19,left,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,866.7749999985099,1204.2300000026821,673.459999999404,763.945000000298,513.2850000008941,1060.8249999985098,905.1550000041723,624.5749999985098,925.2099999964237,820.1449999973178,471.53499999940396,569.1300000041723,569.3950000032783,882.2899999991059,0.35,0.5,0.5,0.5,0.55,0.5,0.5,0.05,0.05,0.2,0.15,0.15,0.4,0.45,25.35241620569157,24.99231762651599,0.03507559874777321,0.1921818530881045,29.855679230845844,23.10621932607183,0.07825633585706575,0.153649371362767
23,0,1966,19,right,male,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1186.35,1514.5,1837.55,5707.15,2078.85,1810.25,1069.15,1306.25,1858.7,1977.3,1289.35,1499.15,1739.45,1248.5,0.0,0.15,0.3,0.6,0.75,0.85,0.95,0.05,0.35,0.85,0.85,0.85,0.9,0.9,24.832513137514272,24.99231762651599,0.22054381496700964,0.1921818530881045,23.24596100922043,23.10621932607183,0.5492637516790315,0.153649371362767
24,0,2575,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,976.2099999999997,948.345,1253.6899999999998,1376.9599999999998,1886.8000000000004,940.9399999999999,801.535,1308.8750000000002,1271.71,875.8500000000001,745.1249999999999,775.145,801.295,789.29,0.0,0.15,0.25,0.45,0.75,1.0,1.0,0.1,0.9,0.8,1.0,1.0,1.0,1.0,24.861968853494716,24.99231762651599,0.2851248969787454,0.1921818530881045,21.830133519492627,23.10621932607183,0.25741765760466917,0.153649371362767
25,0,3500,20,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,942.5550000000279,1100.6300000000047,883.4350000000559,1006.0050000000513,1196.0349999999628,1156.030000000028,987.5050000000047,524.5100000000559,536.6850000000559,554.9249999999302,472.3500000000698,643.6950000000652,499.4799999999814,487.7850000000559,0.45,0.55,0.6,0.45,0.5,0.3,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.156368312931313,24.99231762651599,0.028781169876971165,0.1921818530881045,31.577223676209314,23.10621932607183,0.6789499823821843,0.153649371362767
26,0,3517,20,right,male,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1108.4500000000005,1130.5500000000065,1194.9499999999996,1253.3499999999967,1393.2000000000166,1369.9500000000037,1016.2499999999934,934.7500000000069,1333.9499999999957,1165.9499999999985,1069.5500000000109,908.5000000000051,1216.9500000000073,926.3499999999924,0.0,0.15,0.25,0.35,0.7,0.9,1.0,0.0,0.55,0.75,0.95,0.95,1.0,1.0,25.151927759054587,24.99231762651599,0.23677160080848147,0.1921818530881045,23.001088277776617,23.10621932607183,0.2828587727408601,0.153649371362767
27,0,3805,18,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,668.35,734.2500000000058,988.4499999999935,943.5999999999971,2012.2,825.9000000000145,782.700000000008,789.7499999999927,1036.249999999997,1124.5000000000068,1008.3499999999982,781.3999999999975,816.1999999999913,796.9500000000138,0.05,0.1,0.2,0.45,0.75,0.85,1.0,0.05,0.45,0.55,0.7,0.8,0.85,1.0,25.170347622342884,24.99231762651599,0.25852034322480305,0.1921818530881045,23.726681221967404,23.10621932607183,0.15228670592166338,0.153649371362767
28,0,5497,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1108.1599999999999,1285.01,1153.3,1606.9399999999998,1176.1550000000002,1039.9,879.1300000000001,1130.24,1435.79,1477.4550000000004,1090.995,1118.0700000000002,1044.65,1006.585,0.0,0.1,0.4,0.45,0.75,0.85,0.95,0.0,0.25,0.85,0.85,0.95,1.0,1.0,24.954334754594,24.99231762651599,0.21798431895917056,0.1921818530881045,23.48218533372536,23.10621932607183,0.32102138307729866,0.153649371362767
29,0,6160,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,194.8299999833107,340.4000000357628,286.01500004529953,294.24000000953674,397.5199999809265,400.0949999809265,822.1049999952317,299.689999973774,6999.72999998331,368.86999995708464,235.52000000476838,473.11499997377393,488.5949999809265,249.06499997377395,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.999944398266784,24.99231762651599,0.023076990682437126,0.1921818530881045,24.999944398266784,23.10621932607183,0.023076990682437126,0.153649371362767
30,0,6991,19,left,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1444.755,1287.57,2092.545,1707.0050000000003,1264.26,1361.145,1142.345,928.89,1433.495,1633.5700000000002,1619.4050000000002,1366.885,1102.895,1400.185,0.05,0.05,0.3,0.55,0.85,0.95,1.0,0.0,0.35,0.45,0.7,0.85,0.95,0.9,24.784872831876925,24.99231762651599,0.3384200251961018,0.1921818530881045,24.0102859929139,23.10621932607183,0.22552819541114522,0.153649371362767
