"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"","image-button-response","38","60362","0.0-38.0","null","stimuli/images_hvm10/im160.png","","","null","160","8","7"
"","html-button-response","39","61228","0.0-39.0","865","","","","0","","",""
"","html-keyboard-response","40","62231","0.0-40.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","41","62733","0.0-41.0","null","stimuli/images_hvm10/im8.png","","","null","8","0","9"
"","html-button-response","42","63421","0.0-42.0","689","","","","0","","",""
"","html-keyboard-response","43","64423","0.0-43.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","44","64925","0.0-44.0","null","stimuli/images_hvm10/im196.png","","","null","196","6","9"
"","html-button-response","45","65807","0.0-45.0","881","","","","1","","",""
"","html-keyboard-response","46","66807","0.0-46.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","47","67309","0.0-47.0","null","stimuli/images_hvm10/im162.png","","","null","162","0","8"
"","html-button-response","48","68200","0.0-48.0","889","","","","1","","",""
"","html-keyboard-response","49","69204","0.0-49.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","50","69710","0.0-50.0","null","stimuli/images_hvm10/im197.png","","","null","197","9","6"
"","html-button-response","51","70260","0.0-51.0","550","","","","0","","",""
"","html-keyboard-response","52","71263","0.0-52.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","53","71764","0.0-53.0","null","stimuli/images_hvm10/im163.png","","","null","163","2","8"
"","html-button-response","54","72800","0.0-54.0","1036","","","","1","","",""
"","html-keyboard-response","55","73800","0.0-55.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","56","74303","0.0-56.0","null","stimuli/images_hvm10/im167.png","","","null","167","8","0"
"","html-button-response","57","75029","0.0-57.0","724","","","","0","","",""
"","html-keyboard-response","58","76031","0.0-58.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","59","76532","0.0-59.0","null","stimuli/images_hvm10/im13.png","","","null","13","6","0"
"","html-button-response","60","77294","0.0-60.0","762","","","","1","","",""
"","html-keyboard-response","61","78297","0.0-61.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","62","78799","0.0-62.0","null","stimuli/images_hvm10/im164.png","","","null","164","8","0"
"","html-button-response","63","79668","0.0-63.0","868","","","","0","","",""
"","html-keyboard-response","64","80673","0.0-64.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","65","81176","0.0-65.0","null","stimuli/images_hvm10/im165.png","","","null","165","8","6"
"","html-button-response","66","81989","0.0-66.0","812","","","","0","","",""
"","html-keyboard-response","67","82991","0.0-67.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","68","83493","0.0-68.0","null","stimuli/images_hvm10/im129.png","","","null","129","3","6"
"","html-button-response","69","84326","0.0-69.0","832","","","","0","","",""
"","html-keyboard-response","70","85327","0.0-70.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","71","85831","0.0-71.0","null","stimuli/images_hvm10/im159.png","","","null","159","7","0"
"","html-button-response","72","86486","0.0-72.0","654","","","","0","","",""
"","html-keyboard-response","73","87488","0.0-73.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","74","87989","0.0-74.0","null","stimuli/images_hvm10/im166.png","","","null","166","8","1"
"","html-button-response","75","89014","0.0-75.0","1023","","","","1","","",""
"","html-keyboard-response","76","90018","0.0-76.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","77","90519","0.0-77.0","null","stimuli/images_hvm10/im147.png","","","null","147","7","6"
"","html-button-response","78","91185","0.0-78.0","666","","","","0","","",""
"","html-keyboard-response","79","92188","0.0-79.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","80","92691","0.0-80.0","null","stimuli/images_hvm10/im153.png","","","null","153","7","8"
"","html-button-response","81","93401","0.0-81.0","710","","","","0","","",""
"","html-keyboard-response","82","94403","0.0-82.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","83","94903","0.0-83.0","null","stimuli/images_hvm10/im169.png","","","null","169","4","8"
"","html-button-response","84","95715","0.0-84.0","810","","","","1","","",""
"","html-keyboard-response","85","96718","0.0-85.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","86","97219","0.0-86.0","null","stimuli/images_hvm10/im68.png","","","null","68","7","3"
"","html-button-response","87","98103","0.0-87.0","884","","","","1","","",""
"","html-keyboard-response","88","99107","0.0-88.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","89","99610","0.0-89.0","null","stimuli/images_hvm10/im152.png","","","null","152","0","7"
"","html-button-response","90","100386","0.0-90.0","776","","","","1","","",""
"","html-keyboard-response","91","101387","0.0-91.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","92","101888","0.0-92.0","null","stimuli/images_hvm10/im77.png","","","null","77","3","6"
"","html-button-response","93","102568","0.0-93.0","679","","","","0","","",""
"","html-keyboard-response","94","103571","0.0-94.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","95","104074","0.0-95.0","null","stimuli/images_hvm10/im168.png","","","null","168","8","1"
"","html-button-response","96","104720","0.0-96.0","645","","","","0","","",""
"","html-keyboard-response","97","105724","0.0-97.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","98","106227","0.0-98.0","null","stimuli/images_hvm10/im170.png","","","null","170","8","0"
"","html-button-response","99","106793","0.0-99.0","565","","","","0","","",""
"","html-keyboard-response","100","107794","0.0-100.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","101","108298","0.0-101.0","null","stimuli/images_hvm10/im1.png","","","null","1","7","0"
"","html-button-response","102","108908","0.0-102.0","609","","","","1","","",""
"","html-keyboard-response","103","109909","0.0-103.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","104","110413","0.0-104.0","null","stimuli/images_hvm10/im50.png","","","null","50","5","2"
"","html-button-response","105","111077","0.0-105.0","662","","","","1","","",""
"","html-keyboard-response","106","112077","0.0-106.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","107","112582","0.0-107.0","null","stimuli/images_hvm10/im2.png","","","null","2","1","0"
"","html-button-response","108","113828","0.0-108.0","1245","","","","1","","",""
"","html-keyboard-response","109","114828","0.0-109.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","110","115331","0.0-110.0","null","stimuli/images_hvm10/im131.png","","","null","131","3","6"
"","html-button-response","111","116234","0.0-111.0","902","","","","1","","",""
"","html-keyboard-response","112","117237","0.0-112.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","113","117743","0.0-113.0","null","stimuli/images_hvm10/im145.png","","","null","145","7","5"
"","html-button-response","114","118355","0.0-114.0","611","","","","0","","",""
"","html-keyboard-response","115","119358","0.0-115.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","116","119863","0.0-116.0","null","stimuli/images_hvm10/im171.png","","","null","171","1","8"
"","html-button-response","117","120620","0.0-117.0","756","","","","1","","",""
"","html-keyboard-response","118","121625","0.0-118.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","119","122127","0.0-119.0","null","stimuli/images_hvm10/im157.png","","","null","157","7","6"
"","html-button-response","120","122901","0.0-120.0","774","","","","0","","",""
"","html-keyboard-response","121","123902","0.0-121.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","122","124405","0.0-122.0","null","stimuli/images_hvm10/im66.png","","","null","66","8","3"
"","html-button-response","123","125109","0.0-123.0","703","","","","1","","",""
"","html-keyboard-response","124","126112","0.0-124.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","125","126614","0.0-125.0","null","stimuli/images_hvm10/im173.png","","","null","173","8","0"
"","html-button-response","126","127270","0.0-126.0","656","","","","0","","",""
"","html-keyboard-response","127","128274","0.0-127.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","128","128775","0.0-128.0","null","stimuli/images_hvm10/im40.png","","","null","40","9","2"
"","html-button-response","129","129406","0.0-129.0","630","","","","1","","",""
"","html-keyboard-response","130","130412","0.0-130.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","131","130915","0.0-131.0","null","stimuli/images_hvm10/im172.png","","","null","172","6","8"
"","html-button-response","132","131576","0.0-132.0","660","","","","1","","",""
"","html-keyboard-response","133","132578","0.0-133.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","134","133079","0.0-134.0","null","stimuli/images_hvm10/im48.png","","","null","48","2","0"
"","html-button-response","135","133864","0.0-135.0","784","","","","0","","",""
"","html-keyboard-response","136","134865","0.0-136.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","137","135370","0.0-137.0","null","stimuli/images_hvm10/im41.png","","","null","41","2","0"
"","html-button-response","138","135919","0.0-138.0","548","","","","0","","",""
"","html-keyboard-response","139","136922","0.0-139.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","140","137425","0.0-140.0","null","stimuli/images_hvm10/im175.png","","","null","175","8","2"
"","html-button-response","141","138047","0.0-141.0","621","","","","0","","",""
"","html-keyboard-response","142","139049","0.0-142.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","143","139554","0.0-143.0","null","stimuli/images_hvm10/im154.png","","","null","154","1","7"
"","html-button-response","144","140247","0.0-144.0","693","","","","1","","",""
"","html-keyboard-response","145","141249","0.0-145.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","146","141752","0.0-146.0","null","stimuli/images_hvm10/im174.png","","","null","174","3","8"
"","html-button-response","147","142545","0.0-147.0","792","","","","1","","",""
