"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"","image-button-response","353","297593","0.0-353.0","null","stimuli/images_hvm10/im123.png","","","null","123","6","0"
"","html-button-response","354","298123","0.0-354.0","529","","","","0","","",""
"","html-keyboard-response","355","299126","0.0-355.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","356","299628","0.0-356.0","null","stimuli/images_hvm10/im27.png","","","null","27","1","5"
"","html-button-response","357","300324","0.0-357.0","695","","","","0","","",""
"","html-keyboard-response","358","301326","0.0-358.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","359","301828","0.0-359.0","null","stimuli/images_hvm10/im126.png","","","null","126","6","2"
"","html-button-response","360","302428","0.0-360.0","598","","","","0","","",""
"","html-keyboard-response","361","303428","0.0-361.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","362","303929","0.0-362.0","null","stimuli/images_hvm10/im54.png","","","null","54","2","5"
"","html-button-response","363","304509","0.0-363.0","579","","","","0","","",""
"","html-keyboard-response","364","305510","0.0-364.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","365","306012","0.0-365.0","null","stimuli/images_hvm10/im23.png","","","null","23","6","1"
"","html-button-response","366","306741","0.0-366.0","728","","","","1","","",""
"","html-keyboard-response","367","307745","0.0-367.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","368","308250","0.0-368.0","null","stimuli/images_hvm10/im127.png","","","null","127","6","0"
"","html-button-response","369","309028","0.0-369.0","778","","","","0","","",""
"","html-keyboard-response","370","310031","0.0-370.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","371","310531","0.0-371.0","null","stimuli/images_hvm10/im19.png","","","null","19","0","4"
"","html-button-response","372","311101","0.0-372.0","569","","","","0","","",""
"","html-keyboard-response","373","312106","0.0-373.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","374","312610","0.0-374.0","null","stimuli/images_hvm10/im18.png","","","null","18","0","3"
"","html-button-response","375","313093","0.0-375.0","483","","","","0","","",""
"","html-keyboard-response","376","314095","0.0-376.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","377","314597","0.0-377.0","null","stimuli/images_hvm10/im52.png","","","null","52","5","2"
"","html-button-response","378","315294","0.0-378.0","697","","","","1","","",""
"","html-keyboard-response","379","316297","0.0-379.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","380","316798","0.0-380.0","null","stimuli/images_hvm10/im24.png","","","null","24","2","1"
"","html-button-response","381","317623","0.0-381.0","823","","","","1","","",""
"","html-keyboard-response","382","318625","0.0-382.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","383","319126","0.0-383.0","null","stimuli/images_hvm10/im55.png","","","null","55","2","0"
"","html-button-response","384","319727","0.0-384.0","601","","","","0","","",""
"","html-keyboard-response","385","320729","0.0-385.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","386","321236","0.0-386.0","null","stimuli/images_hvm10/im53.png","","","null","53","2","5"
"","html-button-response","387","321766","0.0-387.0","531","","","","0","","",""
"","html-keyboard-response","388","322769","0.0-388.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","389","323270","0.0-389.0","null","stimuli/images_hvm10/im147.png","","","null","147","7","5"
"","html-button-response","390","324039","0.0-390.0","769","","","","0","","",""
"","html-keyboard-response","391","325042","0.0-391.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","392","325544","0.0-392.0","null","stimuli/images_hvm10/im192.png","","","null","192","9","6"
"","html-button-response","393","326064","0.0-393.0","520","","","","0","","",""
"","html-keyboard-response","394","327067","0.0-394.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","395","327569","0.0-395.0","null","stimuli/images_hvm10/im160.png","","","null","160","8","3"
"","html-button-response","396","328152","0.0-396.0","581","","","","0","","",""
"","html-keyboard-response","397","329155","0.0-397.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","398","329661","0.0-398.0","null","stimuli/images_hvm10/im193.png","","","null","193","7","9"
"","html-button-response","399","330481","0.0-399.0","819","","","","1","","",""
"","html-keyboard-response","400","331484","0.0-400.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","401","331986","0.0-401.0","null","stimuli/images_hvm10/im162.png","","","null","162","8","4"
"","html-button-response","402","332592","0.0-402.0","606","","","","0","","",""
"","html-keyboard-response","403","333595","0.0-403.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","404","334098","0.0-404.0","null","stimuli/images_hvm10/im194.png","","","null","194","5","9"
"","html-button-response","405","334729","0.0-405.0","632","","","","1","","",""
"","html-keyboard-response","406","335733","0.0-406.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","407","336233","0.0-407.0","null","stimuli/images_hvm10/im195.png","","","null","195","6","9"
"","html-button-response","408","337112","0.0-408.0","877","","","","1","","",""
"","html-keyboard-response","409","338117","0.0-409.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","410","338623","0.0-410.0","null","stimuli/images_hvm10/im196.png","","","null","196","9","6"
"","html-button-response","411","339263","0.0-411.0","640","","","","0","","",""
"","html-keyboard-response","412","340264","0.0-412.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","413","340767","0.0-413.0","null","stimuli/images_hvm10/im197.png","","","null","197","9","4"
"","html-button-response","414","341239","0.0-414.0","472","","","","0","","",""
"","html-keyboard-response","415","342242","0.0-415.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","416","342744","0.0-416.0","null","stimuli/images_hvm10/im198.png","","","null","198","9","1"
"","html-button-response","417","343311","0.0-417.0","568","","","","0","","",""
"","html-keyboard-response","418","344313","0.0-418.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","419","344818","0.0-419.0","null","stimuli/images_hvm10/im161.png","","","null","161","8","5"
"","html-button-response","420","345392","0.0-420.0","573","","","","0","","",""
"","html-keyboard-response","421","346397","0.0-421.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","422","346898","0.0-422.0","null","stimuli/images_hvm10/im132.png","","","null","132","9","6"
"","html-button-response","423","348031","0.0-423.0","1132","","","","1","","",""
"","html-keyboard-response","424","349031","0.0-424.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
